"","Aporrectodea_longa","Betulaphis","Callipterinella","Clethrobius_comes","Dinocampus","Euceraphis","Haplotaxida","Harmonia_axyridis","Hemiptera","Homo_sapiens","Lumbricidae","Lumbricus_rubellus","Taeniothrips_inconsequens","Thripidae","Trombidiformes_sp._BOLD:ACI3657"
"STRE.may.Ha15.pl4.2.7.nc.blast",0,0,0,0,0,0.168366232063515,0,0.831160317575934,0,0,0,0,0,0,0
"STRE.may.Ha17.pl4.3.1.nc.blast",0,0,0,0,0,0.00530049968252215,0,0.994699500317478,0,0,0,0,0,0,0
"STRE.may.Ha18.pl4.3.2.nc.blast",0,0,0,0,0,0,0,0.999783529702817,0,0,0,0,0,0,0
"STRE.may.Ha19.pl4.3.3.nc.blast",0,0,0,0,0,0,0,0.999714844386508,0,0,0,0,0,0,0
"STRE.may.Ha2.pl4.1.2.nc.blast",0,0,0,0,0,0,0,0.998217241818413,0,0,0,0,0,0,0
"STRE.may.Ha20.pl4.3.4.nc.blast",0,0,0,0,0,0,0,0.999191013313609,0,0,0,0,0,0,0
"STRE.may.Ha21.pl4.3.5.nc.blast",0,0,0,0,0,0.00750201977455469,0,0.992497980225445,0,0,0,0,0,0,0
"STRE.may.Ha22.pl4.3.6.nc.blast",0,0,0,0,0,0,0,0.999045899069752,0,0,0,0,0,0,0
"STRE.may.Ha3.pl4.1.3.nc.blast",0,0,0,0,0,0,0,0.999385017488565,0,0,0,0,0,0,0
"STRE.may.Ha4.pl4.1.4.nc.blast",0,0,0,0,0,0,0,0.997828066979612,0,0,0,0,0,0,0
"STRE.may.Ha5.pl4.1.5.nc.blast",0,0,0,0,0,0.0131540485238234,0,0.986845951476177,0,0,0,0,0,0,0
"STRE.may.Ha6.pl4.1.6.nc.blast",0,0,0,0,0,0.00429724347552667,0,0.995702756524473,0,0,0,0,0,0,0
"STRE.may.Ha7.pl4.1.7.nc.blast",0,0,0,0,0,0.0515390318240479,0,0.948241302616766,0,0,0,0,0,0,0
"STRE.may.Ha8.pl4.1.8.nc.blast",0,0,0,0,0,0,0,0.996978417266187,0,0,0,0,0,0,0
"STRE.may.Ha9.pl4.2.1.nc.blast",0,0,0,0,0,0,0,0.999520467326387,0,0,0,0,0,0,0
"SUTT.may.Ha1.pl4.7.7.nc.blast",0,0,0,0,0,0,0,0.997431553636811,0,0,0,0,0,0,0
"SUTT.may.Ha10.pl4.8.8.nc.blast",0,0,0,0,0,0,0,0.999685155061132,0,0,0,0,0,0,0
"SUTT.may.Ha11.pl4.9.1.nc.blast",0,0,0,0,0,0,0,0.999737279971976,0,0,0,0,0,0,0
"SUTT.may.Ha12.pl4.9.2.nc.blast",0,0,0,0,0,0,0,0.996474086661003,0,0,0,0,0,0,0.00344095157179269
"SUTT.may.Ha13.pl4.9.3.nc.blast",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SUTT.may.Ha14.pl4.9.4.nc.blast",0,0,0,0,0,0,0,0.999658086259952,0,0,0,0,0,0,0
"SUTT.may.Ha15.pl4.9.5.nc.blast",0,0,0,0,0,0,0,0.999912736157773,0,0,0,0,0,0,0
"SUTT.may.Ha16.pl4.9.6.nc.blast",0,0,0,0,0,0,0,0.999730684062481,0,0,0,0,0,0,0
"SUTT.may.Ha17.pl4.9.7.nc.blast",0,0,0,0,0,0,0,0.999842983316977,0,0,0,0,0,0,0
"SUTT.may.Ha18.pl4.9.8.nc.blast",0,0,0,0,0,0,0,0.998368852168363,0,0,0,0,0,0,0
"SUTT.may.Ha2.pl4.7.8.nc.blast",0,0,0,0,0.0031023784901758,0,0,0.996380558428128,0,0,0,0,0,0,0
"SUTT.may.Ha3.pl4.8.1.nc.blast",0,0,0.00395272540416617,0,0,0,0,0.995335784023084,0,0,0,0,0,0,0
"SUTT.may.Ha4.pl4.8.2.nc.blast",0,0,0,0,0,0,0,0.999845512127298,0,0,0,0,0,0,0
"SUTT.may.Ha6.pl4.8.4.nc.blast",0,0,0,0,0,0,0,0.999195753578897,0,0,0,0,0,0,0
"SUTT.may.Ha7.pl4.8.5.nc.blast",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SUTT.may.Ha8.pl4.8.6.nc.blast",0,0,0,0,0,0,0,0.999419187919109,0,0,0,0,0,0,0
"SUTT.may.Ha9.pl4.8.7.nc.blast",0,0,0,0,0,0,0,0.999894011658717,0,0,0,0,0,0,0
"WALL.may.Ha1.pl4.4.1.nc.blast",0,0,0,0,0,0,0,0.999498322515913,0,0,0,0,0,0,0
"WALL.may.Ha10.pl4.5.4.nc.blast",0,0,0,0,0,0,0,0.999644932214332,0,0,0,0,0,0,0
"WALL.may.Ha11.pl4.5.5.nc.blast",0,0,0,0,0,0.00330696849856812,0,0.996693031501432,0,0,0,0,0,0,0
"WALL.may.Ha12.pl4.5.6.nc.blast",0,0,0,0,0,0,0,0.999922706309742,0,0,0,0,0,0,0
"WALL.may.Ha13.pl4.5.7.nc.blast",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"WALL.may.Ha14.pl4.5.8.nc.blast",0,0,0,0,0,0,0,0.999611268043642,0,0,0,0,0,0,0
"WALL.may.Ha15.pl4.6.1.nc.blast",0,0,0,0,0,0.00611876421024475,0,0.992577236859703,0,0,0,0,0,0,0
"WALL.may.Ha16.pl4.6.2.nc.blast",0,0,0,0,0,0,0,0.99911811718018,0,0,0,0,0,0,0
"WALL.may.Ha2.pl4.4.2.nc.blast",0,0,0,0,0,0,0,0.999156516751577,0,0,0,0,0,0,0
"WALL.may.Ha3.pl4.4.3.nc.blast",0,0,0,0,0,0,0,0.996677740863787,0,0,0,0,0,0,0
"WALL.may.Ha4.pl4.4.4.nc.blast",0,0,0,0,0,0,0,0.969777306468717,0,0,0,0.0299954552340554,0,0,0
"WALL.may.Ha5.pl4.4.5.nc.blast",0,0,0,0,0,0,0,0.998720439789583,0,0,0,0,0,0,0
"WALL.may.Ha6.pl4.4.6.nc.blast",0,0,0,0,0,0,0,0.998742845800113,0,0,0,0,0,0,0
"WALL.may.Ha7.pl4.5.1.nc.blast",0,0,0,0,0,0,0,0.999678177195636,0,0,0,0,0,0,0
"WALL.may.Ha8.pl4.5.2.nc.blast",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"WALL.may.Ha9.pl4.5.3.nc.blast",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"pcr.POS.pl4.4.8.nc.blast",0,0,0,0,0,0,0,0.0953710165154687,0,0,0,0.904628983484531,0,0,0
"pcr.POS.pl4.6.4.nc.blast",0,0,0,0,0,0,0,0.0957274202271498,0,0,0,0.904103569497025,0,0,0
