"","Aporrectodea_longa","Betulaphis","Callipterinella","Clethrobius_comes","Dinocampus","Euceraphis","Haplotaxida","Harmonia_axyridis","Hemiptera","Homo_sapiens","Lumbricidae","Lumbricus_rubellus","Taeniothrips_inconsequens","Thripidae","Trombidiformes_sp._BOLD:ACI3657"
"STRE.may.Ha11.pl4.2.3.nc.blast",0,0,0,0,0,0.0309011707051457,0,0.967692168073328,0,0.00140666122152645,0,0,0,0,0
"STRE.may.Ha12.pl4.2.4.nc.blast",0,0,0,0,0,0.000632511068943707,0,0.998945814885094,0,0,0,0.000421674045962471,0,0,0
"STRE.may.Ha13.pl4.2.5.nc.blast",0,0,0,0,0,0.000679424753708527,0,0.999320575246291,0,0,0,0,0,0,0
"STRE.may.Ha14.pl4.2.6.nc.blast",0,0,0,0,8.74406132501676e-05,0.0842636043020782,0,0.91477454895217,0,0,0,0,0.000874406132501676,0,0
"STRE.may.Ha15.pl4.2.7.nc.blast",0,0,0,0,0,0.168366232063515,0,0.831160317575934,0,0,0,0,0,0,0.000473450360550659
"STRE.may.Ha17.pl4.3.1.nc.blast",0,0,0,0,0,0.00530049968252215,0,0.994699500317478,0,0,0,0,0,0,0
"STRE.may.Ha18.pl4.3.2.nc.blast",0,0,0,0,0,0.000216470297182794,0,0.999783529702817,0,0,0,0,0,0,0
"STRE.may.Ha19.pl4.3.3.nc.blast",0,0,0,0,0,0.000285155613491934,0,0.999714844386508,0,0,0,0,0,0,0
"STRE.may.Ha2.pl4.1.2.nc.blast",0,0,0,0.000700369285623329,0,0.00108238889596333,0,0.998217241818413,0,0,0,0,0,0,0
"STRE.may.Ha20.pl4.3.4.nc.blast",0,0,0,0,0,0.000462278106508876,0,0.999191013313609,0,0,0,0.000346708579881657,0,0,0
"STRE.may.Ha21.pl4.3.5.nc.blast",0,0,0,0,0,0.00750201977455469,0,0.992497980225445,0,0,0,0,0,0,0
"STRE.may.Ha22.pl4.3.6.nc.blast",0,0,0,0,0,0.000681500664463148,0,0.999045899069752,0,0.000272600265785259,0,0,0,0,0
"STRE.may.Ha3.pl4.1.3.nc.blast",0,0,0,0,0,0.000614982511434831,0,0.999385017488565,0,0,0,0,0,0,0
